2026-01-24 	 10:38:13 	 undefined 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 10:39:32 	 undefined 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 10:41:12 	 undefined 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 10:41:49 	 128f0d1a-b7bd-4563-9d04-233e10f4d721 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 10:42:24 	 2c4bb96a-274e-4f7c-9139-81050447b5df 	 GET 	  	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 10:42:40 	 23fd64ac-2e1f-435a-aa50-60f90ac55ceb 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 11:00:26 	 1961b192-4f46-41cb-b5da-3e8aeb60bf8b 	 GET 	 undefined 	 /refresh
2026-01-24 	 11:00:31 	 103a635d-c85a-4500-a8c7-2e1aaf5962f1 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 11:06:57 	 0a5d8437-94f9-4fab-bb52-024f079d3150 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 11:07:14 	 f3eeedc2-9420-4367-8457-5d7f5f076835 	 GET 	 undefined 	 /report/packaging/696de14eb95e0e649ed4946c
2026-01-24 	 12:06:56 	 e47dd288-3dae-442b-8496-b808fccd93cc 	 GET 	 undefined 	 /refresh
2026-01-24 	 12:07:03 	 4a158e78-7200-4728-a357-062b287bf278 	 GET 	 undefined 	 /report/packaging/
2026-01-24 	 12:07:15 	 b69d7dae-5080-49de-a688-14acd14e2971 	 GET 	 undefined 	 /report/packaging/
2026-01-24 	 13:30:40 	 6fb430bc-a0aa-40bc-9b1e-0ba6ae74516c 	 GET 	 undefined 	 /refresh
2026-01-24 	 13:32:27 	 1b2e54b5-b653-4db9-884b-a55225ecee75 	 GET 	 undefined 	 /brands
2026-01-24 	 13:32:32 	 092faccb-9493-45da-9888-e8edbdf69c3c 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:36 	 fa087ebf-27a6-4f7a-9352-25c4c59e570d 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:37 	 0af8d4c7-b179-4f1f-b6ac-6912caff043b 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:37 	 8dfb146b-4c4a-45cd-9dd0-ae660ab52790 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:37 	 260130e7-3f5e-4b69-8039-5818eb5fdc7c 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:37 	 53ae2f0c-a2a0-4420-9258-c4cb10e0c101 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:38 	 a010d0ab-9884-4766-abef-d69a6ed9d054 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:38 	 ccc76fd1-fc3e-4a5c-b346-973574de0428 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:38 	 947eb977-b504-4f63-94e1-306cdae1b932 	 GET 	 undefined 	 /brand
2026-01-24 	 13:32:38 	 1a9d4bed-054a-4abb-85b2-37e367bcdd5a 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:03 	 96944c1d-515d-4465-9eb6-227cd3e179f6 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:10 	 cb67e7f4-d41d-4d76-8229-bd74b600fde2 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:10 	 03d9429a-de1d-47d4-bda6-ed47dd6844ad 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:11 	 ef6f306f-a424-4083-83f4-1af7877e785a 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:11 	 452f5f80-9cfc-4983-8d2e-521dba934c96 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:12 	 f877a1aa-f971-4e80-b1d9-4519200b0f40 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:13 	 0fbf3fbb-e1bd-46f3-90f1-60001d591c31 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:13 	 9f537dbc-66fe-41a4-9b3e-31966b3f5547 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:13 	 dd830b36-8d63-45a9-a254-b7ae39975cb2 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:13 	 0c33bbeb-1d71-402d-9689-a174f40a0020 	 GET 	 undefined 	 /brand
2026-01-24 	 13:33:34 	 68063daf-f055-4bc9-a542-e8bf5660d24f 	 GET 	 undefined 	 /brand
2026-01-24 	 13:34:20 	 1afb3208-7800-4e7c-8289-f9b6af327e73 	 GET 	 undefined 	 /brand
2026-01-24 	 13:34:22 	 a53f0072-fdab-4a88-9eff-19dbcca2041e 	 GET 	 undefined 	 /brand
2026-01-24 	 13:34:27 	 1cb22767-e32f-4cf1-a2a0-4f0d6359d00e 	 GET 	 undefined 	 /brand
2026-01-24 	 13:34:39 	 a30b3501-399f-4400-8f03-a5b896065ec3 	 GET 	 undefined 	 /brand
2026-01-24 	 13:34:59 	 67a5e232-5577-4181-8366-b46df9efdf53 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:34 	 77da64c7-2b5f-4a17-9a0a-f5e6d2ee316b 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:36 	 fef43d1d-0577-45bb-a1a3-b85ba5f91cad 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:37 	 7b38a357-a922-46c2-afb7-0bab3c0baf92 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:45 	 ac276516-0b39-4d2e-94fe-5aed5fd2eb99 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:46 	 4aa7196c-e0cd-43dd-b3b8-bb0b2b0727d3 	 GET 	 undefined 	 /brand
2026-01-24 	 13:37:47 	 d0654b16-d48a-459c-8a5d-a7572622a83b 	 GET 	 undefined 	 /brand
2026-01-24 	 13:40:18 	 074bf781-5be1-4e06-bc70-3ed4aa8128cc 	 GET 	 undefined 	 /brand
2026-01-24 	 13:40:27 	 86a311dc-49f4-477e-a0c8-93d95bd1536a 	 GET 	 undefined 	 /brand
2026-01-24 	 13:40:32 	 09230ae7-c4d1-4123-a60f-a21f280b93c1 	 GET 	 undefined 	 /brand
2026-01-24 	 13:40:49 	 ea6a5689-cf6a-4e21-9b62-ba1392c216d6 	 GET 	 undefined 	 /brand
2026-01-24 	 13:41:01 	 4fd2d48d-976b-46f5-837f-22d171b5e9e3 	 GET 	 undefined 	 /brand/696ce1425793b8a69c6b8ded
2026-01-24 	 13:41:11 	 f56ac074-fa2d-4cf9-b4e0-7d7e3e0636d2 	 GET 	 undefined 	 /brand/696ce1425793b8a69c6b8ded
2026-01-26 	 15:50:17 	 8225a226-2b92-4466-907e-f18550c0d1c6 	 POST 	 undefined 	 /auth
2026-01-26 	 15:50:44 	 5e0dc796-f680-4652-9c5f-591b676abf4d 	 GET 	 undefined 	 /report/packaging/
2026-01-26 	 16:07:02 	 3ece22d6-c555-45ac-b54b-be58408c1aa1 	 GET 	 undefined 	 /refresh
2026-01-26 	 16:07:08 	 fe778dbc-4abe-4c1d-9668-04654ae499b4 	 GET 	 undefined 	 /report/packaging/
2026-01-26 	 16:07:22 	 c76f2d35-9abd-49f0-ba6f-7f0de6aaca84 	 GET 	 undefined 	 /report/packaging/
2026-01-26 	 16:07:33 	 2c5143ff-f7fb-4e39-9502-c17f05246221 	 GET 	 undefined 	 /report/packaging/
